Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite3,Firefox 54.0,Test Cellphone and Email,2017-09-04 13:28:12,2017-09-04 13:28:47,34.210s,PASSED
,,,,,,
Test Cases/Test_Cellphone,Firefox 54.0,,2017-09-04 13:28:13,2017-09-04 13:28:28,14.827s,PASSED
openBrowser,Firefox 54.0,,2017-09-04 13:28:13,2017-09-04 13:28:19,5.773s,PASSED
navigateToUrl,Firefox 54.0,,2017-09-04 13:28:19,2017-09-04 13:28:24,4.888s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:24,2017-09-04 13:28:24,0.249s,PASSED
click,Firefox 54.0,,2017-09-04 13:28:24,2017-09-04 13:28:25,0.697s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 13:28:25,2017-09-04 13:28:26,0.888s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:26,2017-09-04 13:28:26,0.306s,PASSED
click,Firefox 54.0,,2017-09-04 13:28:26,2017-09-04 13:28:27,0.706s,PASSED
verifyTextNotPresent,Firefox 54.0,,2017-09-04 13:28:27,2017-09-04 13:28:28,0.879s,PASSED
,,,,,,
Test Cases/Test_Email,Firefox 54.0,,2017-09-04 13:28:28,2017-09-04 13:28:47,18.985s,PASSED
openBrowser,Firefox 54.0,,2017-09-04 13:28:28,2017-09-04 13:28:34,6.188s,PASSED
navigateToUrl,Firefox 54.0,,2017-09-04 13:28:34,2017-09-04 13:28:38,4.452s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:38,2017-09-04 13:28:39,0.176s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:39,2017-09-04 13:28:39,0.793s,PASSED
click,Firefox 54.0,,2017-09-04 13:28:39,2017-09-04 13:28:40,0.814s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 13:28:40,2017-09-04 13:28:41,1.142s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:41,2017-09-04 13:28:42,0.154s,PASSED
click,Firefox 54.0,,2017-09-04 13:28:42,2017-09-04 13:28:42,0.718s,PASSED
verifyTextPresent,Firefox 54.0,,2017-09-04 13:28:42,2017-09-04 13:28:43,0.967s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:43,2017-09-04 13:28:43,0.127s,PASSED
click,Firefox 54.0,,2017-09-04 13:28:43,2017-09-04 13:28:44,0.702s,PASSED
verifyTextNotPresent,Firefox 54.0,,2017-09-04 13:28:44,2017-09-04 13:28:45,0.884s,PASSED
setText,Firefox 54.0,,2017-09-04 13:28:45,2017-09-04 13:28:45,0.123s,PASSED
click,Firefox 54.0,,2017-09-04 13:28:45,2017-09-04 13:28:45,0.087s,PASSED
verifyTextNotPresent,Firefox 54.0,,2017-09-04 13:28:45,2017-09-04 13:28:46,0.861s,PASSED
closeBrowser,Firefox 54.0,,2017-09-04 13:28:46,2017-09-04 13:28:47,0.552s,PASSED
